target,position,layer,top1_first_digit,top1_shuffled
s2,dot_1,23,0.102,0.142
answer,dot_1,24,0.081,0.123
s1,dot_1,24,0.123,0.102
s2,dot_1,24,0.082,0.113
answer,dot_1,25,0.099,0.097
s1,dot_1,25,0.149,0.122
s2,dot_1,25,0.065,0.086
answer,dot_1,26,0.071,0.114
s1,dot_1,26,0.132,0.125
s2,dot_1,26,0.068,0.101
answer,dot_1,27,0.063,0.116
s1,dot_1,27,0.123,0.121
s2,dot_1,27,0.072,0.115
answer,dot_1,28,0.098,0.129
s1,dot_1,28,0.11,0.104
s2,dot_1,28,0.113,0.158
answer,dot_2,0,0.029,0.029
s1,dot_2,0,0.105,0.105
s2,dot_2,0,0.003,0.003
answer,dot_2,1,0.045,0.074
s1,dot_2,1,0.085,0.095
s2,dot_2,1,0.054,0.081
answer,dot_2,2,0.082,0.095
s1,dot_2,2,0.106,0.093
s2,dot_2,2,0.091,0.105
answer,dot_2,3,0.08,0.119
s1,dot_2,3,0.102,0.087
s2,dot_2,3,0.091,0.128
answer,dot_2,4,0.087,0.128
s1,dot_2,4,0.128,0.101
s2,dot_2,4,0.099,0.133
answer,dot_2,5,0.096,0.14
s1,dot_2,5,0.12,0.097
s2,dot_2,5,0.106,0.124
answer,dot_2,6,0.066,0.083
s1,dot_2,6,0.087,0.096
s2,dot_2,6,0.071,0.089
answer,dot_2,7,0.102,0.095
s1,dot_2,7,0.119,0.112
s2,dot_2,7,0.104,0.097
answer,dot_2,8,0.07,0.08
s1,dot_2,8,0.144,0.089
s2,dot_2,8,0.061,0.079
answer,dot_2,9,0.102,0.103
s1,dot_2,9,0.118,0.098
s2,dot_2,9,0.094,0.081
answer,dot_2,10,0.101,0.115
s1,dot_2,10,0.107,0.105
s2,dot_2,10,0.107,0.1
answer,dot_2,11,0.114,0.097
s1,dot_2,11,0.106,0.108
s2,dot_2,11,0.092,0.092
answer,dot_2,12,0.112,0.088
s1,dot_2,12,0.105,0.099
s2,dot_2,12,0.09,0.101
answer,dot_2,13,0.094,0.089
s1,dot_2,13,0.108,0.105
s2,dot_2,13,0.104,0.1
answer,dot_2,14,0.102,0.105
s1,dot_2,14,0.095,0.095
s2,dot_2,14,0.083,0.102
answer,dot_2,15,0.111,0.12
s1,dot_2,15,0.131,0.098
s2,dot_2,15,0.099,0.128
answer,dot_2,16,0.102,0.099
s1,dot_2,16,0.098,0.089
s2,dot_2,16,0.103,0.131
answer,dot_2,17,0.102,0.105
s1,dot_2,17,0.129,0.085
s2,dot_2,17,0.103,0.106
answer,dot_2,18,0.072,0.087
s1,dot_2,18,0.128,0.098
s2,dot_2,18,0.071,0.104
answer,dot_2,19,0.129,0.157
s1,dot_2,19,0.12,0.087
s2,dot_2,19,0.141,0.153
answer,dot_2,20,0.143,0.133
s1,dot_2,20,0.09,0.091
s2,dot_2,20,0.13,0.135
answer,dot_2,21,0.122,0.131
s1,dot_2,21,0.087,0.075
s2,dot_2,21,0.142,0.121
answer,dot_2,22,0.11,0.122
s1,dot_2,22,0.076,0.07
s2,dot_2,22,0.127,0.129
answer,dot_2,23,0.098,0.108
s1,dot_2,23,0.082,0.052
s2,dot_2,23,0.109,0.112
answer,dot_2,24,0.073,0.101
s1,dot_2,24,0.082,0.07
s2,dot_2,24,0.111,0.104
answer,dot_2,25,0.081,0.1
s1,dot_2,25,0.074,0.065
s2,dot_2,25,0.097,0.097
answer,dot_2,26,0.093,0.127
s1,dot_2,26,0.08,0.076
s2,dot_2,26,0.113,0.137
answer,dot_2,27,0.072,0.139
s1,dot_2,27,0.07,0.088
s2,dot_2,27,0.101,0.138
answer,dot_2,28,0.069,0.109
s1,dot_2,28,0.106,0.083
s2,dot_2,28,0.097,0.131
answer,dot_3,0,0.029,0.029
s1,dot_3,0,0.105,0.105
s2,dot_3,0,0.003,0.003
answer,dot_3,1,0.091,0.105
s1,dot_3,1,0.087,0.083
s2,dot_3,1,0.093,0.11
answer,dot_3,2,0.076,0.097
s1,dot_3,2,0.092,0.078
s2,dot_3,2,0.067,0.085
answer,dot_3,3,0.047,0.1
s1,dot_3,3,0.101,0.085
s2,dot_3,3,0.049,0.083
answer,dot_3,4,0.089,0.126
s1,dot_3,4,0.101,0.087
s2,dot_3,4,0.093,0.12
answer,dot_3,5,0.109,0.148
s1,dot_3,5,0.081,0.081
s2,dot_3,5,0.123,0.15
answer,dot_3,6,0.102,0.134
s1,dot_3,6,0.067,0.076
s2,dot_3,6,0.118,0.13
answer,dot_3,7,0.096,0.112
s1,dot_3,7,0.063,0.09
s2,dot_3,7,0.105,0.124
answer,dot_3,8,0.114,0.115
s1,dot_3,8,0.084,0.098
s2,dot_3,8,0.115,0.119
answer,dot_3,9,0.088,0.101
s1,dot_3,9,0.081,0.071
s2,dot_3,9,0.099,0.099
answer,dot_3,10,0.085,0.112
s1,dot_3,10,0.092,0.103
s2,dot_3,10,0.102,0.108
answer,dot_3,11,0.089,0.126
s1,dot_3,11,0.11,0.102
s2,dot_3,11,0.117,0.129
answer,dot_3,12,0.094,0.108
s1,dot_3,12,0.105,0.106
s2,dot_3,12,0.115,0.125
answer,dot_3,13,0.107,0.119
s1,dot_3,13,0.074,0.086
s2,dot_3,13,0.157,0.149
answer,dot_3,14,0.071,0.084
s1,dot_3,14,0.077,0.091
s2,dot_3,14,0.079,0.11
answer,dot_3,15,0.109,0.124
s1,dot_3,15,0.099,0.102
s2,dot_3,15,0.109,0.119
answer,dot_3,16,0.084,0.129
s1,dot_3,16,0.105,0.073
s2,dot_3,16,0.092,0.13
answer,dot_3,17,0.07,0.126
s1,dot_3,17,0.102,0.071
s2,dot_3,17,0.069,0.129
answer,dot_3,18,0.071,0.124
s1,dot_3,18,0.118,0.083
s2,dot_3,18,0.074,0.123
answer,dot_3,19,0.06,0.116
s1,dot_3,19,0.122,0.093
s2,dot_3,19,0.066,0.108
answer,dot_3,20,0.076,0.099
s1,dot_3,20,0.097,0.096
s2,dot_3,20,0.066,0.101
answer,dot_3,21,0.109,0.109
s1,dot_3,21,0.101,0.094
s2,dot_3,21,0.105,0.113
answer,dot_3,22,0.17,0.139
s1,dot_3,22,0.054,0.083
s2,dot_3,22,0.177,0.149
answer,dot_3,23,0.144,0.108
s1,dot_3,23,0.102,0.082
s2,dot_3,23,0.143,0.103
answer,dot_3,24,0.123,0.124
s1,dot_3,24,0.058,0.069
s2,dot_3,24,0.143,0.108
answer,dot_3,25,0.13,0.13
s1,dot_3,25,0.087,0.088
s2,dot_3,25,0.145,0.115
answer,dot_3,26,0.088,0.106
s1,dot_3,26,0.076,0.097
s2,dot_3,26,0.094,0.092
answer,dot_3,27,0.083,0.106
s1,dot_3,27,0.059,0.078
s2,dot_3,27,0.103,0.101
answer,dot_3,28,0.108,0.102
s1,dot_3,28,0.048,0.079
s2,dot_3,28,0.125,0.096
answer,dot_4,0,0.029,0.029
s1,dot_4,0,0.105,0.105
s2,dot_4,0,0.003,0.003
answer,dot_4,1,0.103,0.12
s1,dot_4,1,0.072,0.07
s2,dot_4,1,0.116,0.112
answer,dot_4,2,0.065,0.086
s1,dot_4,2,0.105,0.086
s2,dot_4,2,0.061,0.051
answer,dot_4,3,0.063,0.089
s1,dot_4,3,0.085,0.089
s2,dot_4,3,0.07,0.094
answer,dot_4,4,0.101,0.125
s1,dot_4,4,0.081,0.08
s2,dot_4,4,0.127,0.136
answer,dot_4,5,0.116,0.142
s1,dot_4,5,0.069,0.092
s2,dot_4,5,0.128,0.147
answer,dot_4,6,0.102,0.125
s1,dot_4,6,0.092,0.075
s2,dot_4,6,0.103,0.12
answer,dot_4,7,0.118,0.096
s1,dot_4,7,0.072,0.095
s2,dot_4,7,0.109,0.11
answer,dot_4,8,0.134,0.109
s1,dot_4,8,0.086,0.073
s2,dot_4,8,0.116,0.122
answer,dot_4,9,0.113,0.097
s1,dot_4,9,0.085,0.095
s2,dot_4,9,0.12,0.104
answer,dot_4,10,0.085,0.097
s1,dot_4,10,0.105,0.093
s2,dot_4,10,0.095,0.11
answer,dot_4,11,0.076,0.101
s1,dot_4,11,0.117,0.103
s2,dot_4,11,0.088,0.103
answer,dot_4,12,0.091,0.103
s1,dot_4,12,0.107,0.1
s2,dot_4,12,0.118,0.115
answer,dot_4,13,0.08,0.085
s1,dot_4,13,0.118,0.1
s2,dot_4,13,0.117,0.076
answer,dot_4,14,0.085,0.105
s1,dot_4,14,0.104,0.093
s2,dot_4,14,0.107,0.101
answer,dot_4,15,0.079,0.087
s1,dot_4,15,0.107,0.09
s2,dot_4,15,0.08,0.072
answer,dot_4,16,0.087,0.104
s1,dot_4,16,0.103,0.093
s2,dot_4,16,0.093,0.098
answer,dot_4,17,0.071,0.11
s1,dot_4,17,0.113,0.098
s2,dot_4,17,0.077,0.09
answer,dot_4,18,0.068,0.118
s1,dot_4,18,0.124,0.074
s2,dot_4,18,0.07,0.107
answer,dot_4,19,0.087,0.112
s1,dot_4,19,0.121,0.083
s2,dot_4,19,0.096,0.114
answer,dot_4,20,0.086,0.116
s1,dot_4,20,0.114,0.081
s2,dot_4,20,0.076,0.106
answer,dot_4,21,0.094,0.092
s1,dot_4,21,0.116,0.098
s2,dot_4,21,0.073,0.102
answer,dot_4,22,0.122,0.136
s1,dot_4,22,0.094,0.087
s2,dot_4,22,0.119,0.146
answer,dot_4,23,0.086,0.1
s1,dot_4,23,0.114,0.077
s2,dot_4,23,0.077,0.104
answer,dot_4,24,0.095,0.103
s1,dot_4,24,0.101,0.094
s2,dot_4,24,0.079,0.094
answer,dot_4,25,0.109,0.092
s1,dot_4,25,0.12,0.083
s2,dot_4,25,0.081,0.084
answer,dot_4,26,0.099,0.115
s1,dot_4,26,0.114,0.096
s2,dot_4,26,0.096,0.119
answer,dot_4,27,0.091,0.122
s1,dot_4,27,0.122,0.107
s2,dot_4,27,0.09,0.1
answer,dot_4,28,0.119,0.146
s1,dot_4,28,0.105,0.094
s2,dot_4,28,0.128,0.125
answer,dot_5,0,0.029,0.029
s1,dot_5,0,0.105,0.105
s2,dot_5,0,0.003,0.003
answer,dot_5,1,0.062,0.077
s1,dot_5,1,0.098,0.097
s2,dot_5,1,0.059,0.074
answer,dot_5,2,0.094,0.105
s1,dot_5,2,0.101,0.096
s2,dot_5,2,0.099,0.088
answer,dot_5,3,0.082,0.103
s1,dot_5,3,0.089,0.104
s2,dot_5,3,0.093,0.112
answer,dot_5,4,0.088,0.121
s1,dot_5,4,0.099,0.084
s2,dot_5,4,0.08,0.11
answer,dot_5,5,0.089,0.118
s1,dot_5,5,0.052,0.078
s2,dot_5,5,0.091,0.121
answer,dot_5,6,0.078,0.1
s1,dot_5,6,0.087,0.08
s2,dot_5,6,0.07,0.121
answer,dot_5,7,0.112,0.094
s1,dot_5,7,0.085,0.102
s2,dot_5,7,0.088,0.109
answer,dot_5,8,0.109,0.099
s1,dot_5,8,0.08,0.092
s2,dot_5,8,0.098,0.122
answer,dot_5,9,0.15,0.127
s1,dot_5,9,0.085,0.088
s2,dot_5,9,0.128,0.123
answer,dot_5,10,0.146,0.123
s1,dot_5,10,0.085,0.088
s2,dot_5,10,0.144,0.118
answer,dot_5,11,0.099,0.108
s1,dot_5,11,0.088,0.096
s2,dot_5,11,0.107,0.094
answer,dot_5,12,0.081,0.078
s1,dot_5,12,0.114,0.091
s2,dot_5,12,0.073,0.082
answer,dot_5,13,0.141,0.111
