target,position,layer,top1_first_digit,top1_shuffled
c2y,dot_0,24,0.144,0.128
answer,dot_0,25,0.108,0.094
x,dot_0,25,0.066,0.114
c1x,dot_0,25,0.126,0.121
y,dot_0,25,0.126,0.13
c2y,dot_0,25,0.111,0.109
answer,dot_0,26,0.095,0.111
x,dot_0,26,0.081,0.115
c1x,dot_0,26,0.108,0.123
y,dot_0,26,0.12,0.109
c2y,dot_0,26,0.093,0.113
answer,dot_0,27,0.111,0.119
x,dot_0,27,0.083,0.12
c1x,dot_0,27,0.121,0.137
y,dot_0,27,0.124,0.126
c2y,dot_0,27,0.112,0.12
answer,dot_0,28,0.125,0.116
x,dot_0,28,0.081,0.091
c1x,dot_0,28,0.158,0.151
y,dot_0,28,0.157,0.158
c2y,dot_0,28,0.126,0.119
answer,dot_1,0,0.195,0.195
x,dot_1,0,0.127,0.127
c1x,dot_1,0,0.045,0.045
y,dot_1,0,0.048,0.048
c2y,dot_1,0,0.188,0.188
answer,dot_1,1,0.109,0.111
x,dot_1,1,0.103,0.103
c1x,dot_1,1,0.133,0.125
y,dot_1,1,0.142,0.144
c2y,dot_1,1,0.096,0.111
answer,dot_1,2,0.105,0.114
x,dot_1,2,0.092,0.095
c1x,dot_1,2,0.146,0.132
y,dot_1,2,0.132,0.138
c2y,dot_1,2,0.102,0.097
answer,dot_1,3,0.097,0.11
x,dot_1,3,0.097,0.088
c1x,dot_1,3,0.144,0.112
y,dot_1,3,0.133,0.134
c2y,dot_1,3,0.095,0.101
answer,dot_1,4,0.093,0.096
x,dot_1,4,0.089,0.093
c1x,dot_1,4,0.123,0.117
y,dot_1,4,0.121,0.139
c2y,dot_1,4,0.095,0.108
answer,dot_1,5,0.102,0.089
x,dot_1,5,0.11,0.078
c1x,dot_1,5,0.128,0.122
y,dot_1,5,0.12,0.146
c2y,dot_1,5,0.1,0.086
answer,dot_1,6,0.112,0.107
x,dot_1,6,0.114,0.099
c1x,dot_1,6,0.113,0.118
y,dot_1,6,0.1,0.136
c2y,dot_1,6,0.121,0.107
answer,dot_1,7,0.131,0.111
x,dot_1,7,0.112,0.11
c1x,dot_1,7,0.128,0.12
y,dot_1,7,0.125,0.147
c2y,dot_1,7,0.118,0.117
answer,dot_1,8,0.097,0.092
x,dot_1,8,0.114,0.112
c1x,dot_1,8,0.119,0.114
y,dot_1,8,0.11,0.129
c2y,dot_1,8,0.088,0.108
answer,dot_1,9,0.079,0.076
x,dot_1,9,0.115,0.098
c1x,dot_1,9,0.108,0.109
y,dot_1,9,0.093,0.12
c2y,dot_1,9,0.081,0.095
answer,dot_1,10,0.096,0.081
x,dot_1,10,0.111,0.105
c1x,dot_1,10,0.116,0.115
y,dot_1,10,0.106,0.114
c2y,dot_1,10,0.101,0.102
answer,dot_1,11,0.086,0.087
x,dot_1,11,0.09,0.084
c1x,dot_1,11,0.099,0.085
y,dot_1,11,0.107,0.094
c2y,dot_1,11,0.085,0.088
answer,dot_1,12,0.09,0.088
x,dot_1,12,0.09,0.092
c1x,dot_1,12,0.078,0.071
y,dot_1,12,0.083,0.079
c2y,dot_1,12,0.09,0.081
answer,dot_1,13,0.131,0.117
x,dot_1,13,0.113,0.098
c1x,dot_1,13,0.109,0.104
y,dot_1,13,0.109,0.121
c2y,dot_1,13,0.127,0.119
answer,dot_1,14,0.113,0.108
x,dot_1,14,0.125,0.106
c1x,dot_1,14,0.088,0.098
y,dot_1,14,0.091,0.11
c2y,dot_1,14,0.113,0.093
answer,dot_1,15,0.093,0.089
x,dot_1,15,0.106,0.102
c1x,dot_1,15,0.06,0.064
y,dot_1,15,0.064,0.077
c2y,dot_1,15,0.104,0.096
answer,dot_1,16,0.103,0.092
x,dot_1,16,0.113,0.095
c1x,dot_1,16,0.062,0.084
y,dot_1,16,0.073,0.08
c2y,dot_1,16,0.112,0.094
answer,dot_1,17,0.093,0.082
x,dot_1,17,0.087,0.091
c1x,dot_1,17,0.081,0.093
y,dot_1,17,0.087,0.093
c2y,dot_1,17,0.096,0.085
answer,dot_1,18,0.106,0.099
x,dot_1,18,0.1,0.1
c1x,dot_1,18,0.087,0.103
y,dot_1,18,0.074,0.09
c2y,dot_1,18,0.097,0.08
answer,dot_1,19,0.082,0.086
x,dot_1,19,0.093,0.088
c1x,dot_1,19,0.076,0.078
y,dot_1,19,0.055,0.07
c2y,dot_1,19,0.083,0.092
answer,dot_1,20,0.089,0.102
x,dot_1,20,0.096,0.086
c1x,dot_1,20,0.097,0.089
y,dot_1,20,0.085,0.11
c2y,dot_1,20,0.087,0.094
answer,dot_1,21,0.118,0.111
x,dot_1,21,0.094,0.097
c1x,dot_1,21,0.095,0.111
y,dot_1,21,0.104,0.124
c2y,dot_1,21,0.118,0.117
answer,dot_1,22,0.096,0.096
x,dot_1,22,0.077,0.09
c1x,dot_1,22,0.108,0.092
y,dot_1,22,0.106,0.098
c2y,dot_1,22,0.093,0.091
answer,dot_1,23,0.1,0.09
x,dot_1,23,0.102,0.091
c1x,dot_1,23,0.149,0.149
y,dot_1,23,0.149,0.151
c2y,dot_1,23,0.099,0.09
answer,dot_1,24,0.121,0.123
x,dot_1,24,0.075,0.082
c1x,dot_1,24,0.134,0.118
y,dot_1,24,0.122,0.117
c2y,dot_1,24,0.123,0.1
answer,dot_1,25,0.103,0.12
x,dot_1,25,0.08,0.099
c1x,dot_1,25,0.111,0.109
y,dot_1,25,0.097,0.092
c2y,dot_1,25,0.105,0.092
answer,dot_1,26,0.098,0.111
x,dot_1,26,0.112,0.084
c1x,dot_1,26,0.101,0.107
y,dot_1,26,0.087,0.088
c2y,dot_1,26,0.092,0.086
answer,dot_1,27,0.085,0.085
x,dot_1,27,0.102,0.09
c1x,dot_1,27,0.101,0.11
y,dot_1,27,0.106,0.102
c2y,dot_1,27,0.083,0.083
answer,dot_1,28,0.078,0.083
x,dot_1,28,0.087,0.067
