target,position,layer,r2,r2_shuffled,r2_random
s2~nonlin,final,24,0.8804446879833746,-0.007242600972649171,0.7081662292145359
answer,final,26,0.9733215511940544,-0.007186397512413789,0.9323244804081632
s1,final,26,0.9670630368082461,-0.0009052328599499226,0.9048672168792603
s2,final,26,0.973462997251055,-0.013007275714043587,0.9281231599997039
answer~nonlin,final,26,0.8803050159732891,-0.013150518939632372,0.6935882735471097
s1~nonlin,final,26,0.7776721658434361,-0.012157449439728296,0.7058576494177078
s2~nonlin,final,26,0.8803050159732891,-0.00759086643753526,0.6935882735471098
answer,final,28,0.9712231909395215,-0.00821994938189241,0.899753980445226
s1,final,28,0.9620904734157703,-0.004836384539736782,0.8666360856277862
s2,final,28,0.9709704783727664,-0.014005426226098239,0.9008279553602284
answer~nonlin,final,28,0.8853433038682537,-0.014299490857799801,0.6988541047685755
s1~nonlin,final,28,0.7606458233464498,-0.008720904984412803,0.6844566771858085
s2~nonlin,final,28,0.8853433038682538,-0.007800412123818878,0.6988541047685755
